Comment,Author
보듬 유지해주세요 왜 생각없는 직원들때문에  반려문화가 퇴보해야하나요 말도 안되는 폭로로인해 강형욱씨 뿐아니라 우리나라 반려문화가 퇴보되고 도움받아야할 강아지들이 도움받지 못하게 되면 안되요 무식한 개훈련소가 대부분이엿던 우리나라에 유일한 선진국 훈련소 올바른 반려문화에 기여햇던 훈련소 인데 중심잡고 제발 유지해주세요 그저 지나가는 바람에 무너지면 안되요,@doldol7790
강형욱이란 개인에 대해 딱히 호불호를 갖고있는 사람이 아닙니다만 해명 영상은 상식선에서 충분히 납득이 되고 또 잘못한 부분에 대한 반성도 어느정도 느껴집니다 유명인이라는 댓가로 동일한 사안이나 문제에 대해서도 조금 더 과도한 비판과 공격이 있울 수 있다는 점을 감안하면 강형욱 측에 본 해명 이 면의 어떤 큰 문제가 있다고 여겨지지 않네요,@alzylee
근로자보호법을 이용하는 쓰래기같은 직원들이 노무 많아졌어,@user-qy3rz5ik2n
대화를 훔쳐본거 자체가 잘못된거죠 없을땐 나랏님 욕도 하는데 저같아도 너무 무서울거 같아요 감시받고 있는 느낌을 무시할수 없을거 같아요 저도 사업하지만 변명같은 대답이 많으시네요 그리고 직원분들 회사는 인격과인격의 만남이 우선이 아니에요 그냥시스템에 맞추는거죠 돈을벌러오는 장소랍니다 환상을버리고 오셔야해요,@as99557590
그니깐 당사자 말은 꼭 들어봐야됨 ㅅㅂ끄,@user-ug2hq5tx8s
강형욱씨 힘내세요,@mkh410
난 그래도 아이 욕이 있어 전체를 보고 안락사에 슬퍼 울고 있는데  콧노래 하고 월급 문제도 있고  그닥,@user-os2id8zc9n
어딜가나 ㄸ라이들은 항상 있어요개조심이 보다 사람조심하세요,@valuefreedom1978
지금까지 애써주신것에 대한 댓가가 이런 아픔만 남았네요ㅜㅜ참 마음이 아프네요그래도 응원하는 사람들이 더 많을꺼예요힘내세요,@user-re1et6lq7x
아이고 요세 들 이란 말이 절로나온다,@jini1705
한사람을 마녀사냥해서 그사람의 꿈도 져버리게 만들었네,@user-nz7vx8ny8p
증거 다 까고 언론전하는 제보자들 신상도 까서 제대로  진실을 밝혀 주세요,@CkyouFu
메신저 염탐 건도 그렇고 낱개 스팸 건도 그렇고 부인이 일으킨 건이 많은듯,@user-er3eo1xj2c
죄라면  인성이 갖춰지지 않은 직원들을 뽑은죄,@doldol7790
이상한직원만나서 고생이 많네요 힘내세요,@Apdogod
우리모두가식적인  강형욱에게 속았다 미안하다 일베들이 강형욱 김호중 황영웅변호하네 ㅋㅋㅋ 얼론을 거짓말쟁이 만들려고 그치 ㅋㅋㅋㅋ,@user-np8si2hn4i
"잘 이겨 내시리라 믿습니다
그리고 늘응원할게요

힘내세요",@Harmony_Kang
강형욱님  힘내세요,@user-oe4gd4cu5h
레오 얘기하실때 무슨 마음인지 뜻인지 알것 같아요 저희 댕이도 인지장애에 마비까지는 아니지만 혼자서 서있거나 물도밥도 못먹는 상태입니다 노견이라 수술도 못해서나날이 갈수록 심해져요 대소변은 말할것도 없구요참 이게 겪어보지 못한 사람들은 모를것 같지만 함부로 섣부르게 말하지 않았으면해요 ㅠㅠ,@kim8570
보듬회사가 다닐 사람들이 없어서 그 업계 평판이 소문나고 직원들ㅇ인원채용이 더이상 안되서 망한거 같음 잡플에 직원 퇴사율 그래프보니까 ㅋㅋㅋ 아예 하락이고 더이상 안올라옴 ㅋㅋ,@user-ki9fs8jx1n
외워라 도태노괴랑은 절대 엮이는게아니다채널주분 국제결혼 잘하셨어요,@user-sb6in4es8n
힘내세요요즘 세대 친구들 참,@doldol7790
아무리 댓글조작 발악해도 강형욱은 이미 퇴출임 나오던 방송 다짤렸고 이근도 성범죄걸리고 댓글조작하면서 발악하더니 결국 망했더라 니미래야 형욱아,@user-hj2op6sw1n
진상부부 갑질부부,@user-ki9fs8jx1n
훈련사는 문제견을 다루고 훈련 시켜야 하기때문에 긴박하고 긴장되있는 상황이라 급발진이 나올수도 있지 이렇게 사람을 마녀사냥하는 사람들 각성하세요 좋은 부분이 훨씬 많씀니다,@user-jv1fq5ij7s
